id,label,type
Q2501411,Minister of Foreign Affairs,cabinet
Q25907399,Minister of Agriculture,cabinet
Q30133594,"Minister of Education, Science, Research and Sport",cabinet
Q54857109,"Minister of Education, Science, and Sports",cabinet
Q57419167,Minister of the Interior,cabinet
Q45369,Prime Minister of Slovakia,cabinet
