id,uuid
Q41449507,030badfd-b11b-4977-bc43-484b8645f027
Q20630486,054bb1e0-7971-48ef-ae58-61e1c2f9c1e4
Q27554868,0633c42c-6d36-49cf-8427-245ffc12bfe3
Q16194850,1403f449-2ecf-471f-9a40-4fe141a8ac11
Q41448858,1ca4231f-195d-46da-aae8-bd13b0403a70
Q41449622,2e704dfa-f7bd-4930-8550-6e521cc55ba0
Q41447455,4eb0dab7-0f82-4138-86fd-c919a8bfeeb0
Q41447848,58792ffa-85b5-4ece-b1f8-dbd8f7213689
Q27554925,6085eb00-212f-405e-b1f0-54dbafdadd71
Q27570638,6ea1c2ed-3ae5-412b-9ec9-938fb8db35c0
Q25999626,783a2833-98fb-4a4b-8957-c2f00fd49f49
Q27569261,78b470d0-6ac1-4633-923a-ec6e0de78465
Q41446633,78eff3d1-a27f-4d2a-989f-3ba1c0c98e05
Q41449140,790ecb6c-1b06-4cc2-bbde-93df5ca2d04e
Q41447580,79ddcd71-2532-4f83-97c9-51eb499d469c
Q16204459,95d751a1-ceb8-44a2-a26e-49cc15fcec36
Q20774333,a5caa3de-352b-4afe-b3cc-7bb25d36dd90
Q3166802,b032b05f-e481-49fc-a062-786121367d0a
Q41448759,b168e57b-f950-4722-9a57-93ba07102654
Q41446929,b61c6f06-586a-4c6a-aa83-d58b5b2d4e93
Q41446132,b7c88562-ce17-43a7-9844-f79d21438fcc
Q17651814,c1272a5a-5439-4500-870d-2293cf7a66e5
Q25999631,c344c675-dfe7-401b-af68-768a2d9dd3bf
Q3387048,c541384f-8172-4bdf-95f5-eaca8370a821
