id,wikidata
2779c785-95c4-4b50-8bd2-fd74e435df65,Q1116
5187085b-1a48-451b-9744-bfcf74c45c12,Q90870
570cb1b8-d741-446f-a574-3c5a77553a16,Q1129
20376078-e084-487e-b1e4-1c633cb87d9d,Q1095
286e7423-94a8-486a-b037-d1b00c7d7fbf,Q1127
8a15807b-8c67-46f4-8589-d5b59c1aa8b7,Q1126
41467d4b-517c-4aba-8051-02bc2582a6ce,Q1125
e8e51560-6030-47ba-aa0c-75cf85e6f9cc,Q1114
1241ba6f-fd42-46c7-accf-e5d48fd8a367,Q1118
ff83572d-6b06-4363-a6c5-e2202b37fe72,Q1122
932cbc86-a3b7-4574-bfbe-808a99a9aa1b,Q1113
