id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
f2aa3524-f8ac-4e99-aa7c-483765f930d0,Cəlal Əliyev,Cəlal Əliyev,,,,Yeni Azərbaycan Partiyası,YAP,62,Saatlı seçki dairəsi,National Assembly,4,,,,,,Q876402,
f6055ca3-0ea0-4560-a56a-f1253555e73c,Eldar Quliyev,Eldar Quliyev,,,,Independent,IND,28,Sabunçu üçüncü seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Eldar_Quliyev_professor.jpg,male,Q16366652,Q327591,
ed1d8666-899f-44a7-8969-1a9c7561c61c,Eldar İbrahimov,Eldar İbrahimov,,,,Yeni Azərbaycan Partiyası,YAP,4,Naxçıvan şəhər seçki dairəsi,National Assembly,4,,,,,,Q876402,
34246cbd-cdd4-4274-b6b5-d9a8ca4ae5c7,Elman Məmmədov,Elman Məmmədov,,,,Yeni Azərbaycan Partiyası,YAP,124,Şuşa-Ağdam-Xocalı-Xocavənd seçki dairəsi,National Assembly,4,,,,male,Q5366393,Q876402,
197951ea-5ca1-4d92-8bfe-cf75d7b50c22,Elmira Axundova,Elmira Axundova,,,,Independent,IND,71,Masallı kənd seçki dairəsi,National Assembly,4,,,,female,Q12839099,Q327591,
b05eabbb-1e29-4965-bdb2-44f1b588b8ea,Elton Məmmədov,Elton Məmmədov,,,,Independent,IND,91,Ucar seçki dairəsi,National Assembly,4,,,,male,Q12839143,Q327591,
3a019f50-5b18-4097-9d0b-376d2d45d143,Elxan Süleymanov,Elxan Süleymanov,,,,Independent,IND,85,Şamaxı seçki dairəsi,National Assembly,4,,,,male,Q19713943,Q327591,
d4ea4df0-16b2-4beb-9575-ae2e0af20059,Etibar Hüseynov,Etibar Hüseynov,,,,Independent,IND,15,Yasamal birinci seçki dairəsi,National Assembly,4,,,,male,Q19713963,Q327591,
d7956b7e-7019-4ac8-b42b-ccf4db4bd76d,Fazil Mustafa,Fazil Mustafa,,,,Böyük Quruluş Partiyası,BQP,26,Sabunçu birinci seçki dairəsi,National Assembly,4,,,,female,Q12839470,Q5599720,
1a0f1e55-cdd1-4680-aa47-815cd5d0ac0e,Flora Qasımova,Flora Qasımova,,,,Independent,IND,122,Xankəndi seçki dairəsi,National Assembly,4,,,,female,Q12839554,Q327591,
69a6633a-3afc-4313-b308-c362d5da1dd4,Fuad Muradov,Fuad Muradov,,,,Independent,IND,29,Səbail seçki dairəsi,National Assembly,4,,,,male,Q5506881,Q327591,
607c7d40-f8d2-41eb-9d0d-5ce680e6f694,Fərhad Qəribov,Fərhad Qəribov,,,,Yeni Azərbaycan Partiyası,YAP,57,Kürdəmir seçki dairəsi,National Assembly,4,,,,male,Q16367846,Q876402,
b95603b8-e160-4311-8578-1d1ea94e65a1,Fərəc Quliyev,Fərəc Quliyev,,,,Independent,IND,31,Suraxanı ikinci seçki dairəsi,National Assembly,4,,,,male,Q12839739,Q327591,
254a6455-d19e-4069-9bd9-f436f97b46ca,Fəttah Heydərov,Fəttah Heydərov,,,,Independent,IND,116,Qəbələ seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Fəttah_Heydərov.jpg,male,Q16367961,Q327591,
f9796de8-e6e9-41ad-8d61-ebb374ddb697,Fəzail Ağamalı,Fəzail Ağamalı,,,,Ana Vətən Partiyası,AVP,60,Salyan-Neftçala seçki dairəsi,National Assembly,4,,,,male,Q4056585,Q1956023,
b8b4267e-67c7-4d99-88c8-968fb838e477,Fəzail İbrahimli,Fəzail İbrahimli,,,,Vətəndaş Həmrəyliyi Partiyası,VHP,69,Cəlilabad-Masallı-Biləsuvar seçki dairəsi,National Assembly,4,,,,,,Q1021186,
8a996fe0-f48e-4a94-823f-378940e90a94,Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,,,,Independent,IND,94,Bərdə kənd seçki dairəsi,National Assembly,4,,,,female,Q12839846,Q327591,
da3d7407-b2c8-483a-ba7d-37bbaa58be33,Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,,,,Yeni Azərbaycan Partiyası,YAP,97,Goranboy-Ağdam-Tərtər seçki dairəsi,National Assembly,4,,,,female,Q14946401,Q876402,
8f8cc6eb-25d8-4903-afab-0077dd5320ac,Gülər Əhmədova,Gülər Əhmədova,,,,Yeni Azərbaycan Partiyası,YAP,34,Xətai ikinci seçki dairəsi,National Assembly,4,,,,,,Q876402,
7857fb0d-6538-4f0a-8e74-29092d3c102f,Hacı Salayev,Hacı Salayev,,,,Independent,IND,44,Sumqayıt-Abşeron seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/HaciSalayev.jpg,male,Q19838096,Q327591,
77b3c497-b0d3-4a8f-9af5-6439f1e4d9b0,Hadı Rəcəbli,Hadı Rəcəbli,,,,Yeni Azərbaycan Partiyası,YAP,74,Lənkəran kənd seçki dairəsi,National Assembly,4,,,,male,Q12840198,Q876402,
eb35cd81-1f1a-4f7b-97e1-2de0551b8f0c,Hikmət Atayev,Hikmət Atayev,,,,Yeni Azərbaycan Partiyası,YAP,110,Zaqatala seçki dairəsi,National Assembly,4,,,,male,Q16368693,Q876402,
