statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q3777482-c547cbba-41a1-3d25-5fb8-cc8d0533a0ac,Q3777482,Róisín Shortall,Q2531985,Dublin North–West,Q327591,independent politician,2012-09-26,2015-07-15,31
Q3777482-83eb863a-45ea-4f59-c559-1a424c14f91f,Q3777482,Róisín Shortall,Q2531985,Dublin North–West,Q20682633,Social Democrats,2015-07-15,2016-02-03,31
Q3777482-795206D0-121E-4237-A5CA-65779EBEB8B6,Q3777482,Róisín Shortall,Q2531985,Dublin North–West,Q503614,Labour Party,2011-03-09,2012-09-26,31
Q3777488-D9780282-E50D-438A-9728-0D2130F32175,Q3777488,John Browne,Q3458611,Wexford,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q3777521-432A01DB-79D5-46C2-8E2A-CC6C9644C6CD,Q3777521,Billy Timmins,Q2380581,Wicklow,Q247135,Fine Gael,2011-03-09,2013-07-02,31
Q3777521-ad8816e2-4b1c-481a-a94a-efafcd753d40,Q3777521,Billy Timmins,Q2380581,Wicklow,Q327591,independent politician,2013-07-02,2015-03-13,31
Q3777521-75b40b5e-4379-120e-2152-0fd481135eab,Q3777521,Billy Timmins,Q2380581,Wicklow,Q18720460,Renua Ireland,2015-03-13,2016-02-03,31
Q3777541-B393388E-40DA-444B-9DCF-C7E1F5213CDE,Q3777541,Emmet Stagg,Q6406731,Kildare North,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q3777548-A6EE2701-3F0E-442D-B649-1B69C842EBBC,Q3777548,Fergus O'Dowd,Q6689841,Louth,Q247135,Fine Gael,2016-03-10,"",32
Q3777548-BA0D7AF3-3D55-448E-BC4D-094F4D9FBB4F,Q3777548,Fergus O'Dowd,Q6689841,Louth,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3777550-4A17791C-7608-49C7-8B79-FCE03D26EED9,Q3777550,Jack Wall,Q17088606,Kildare South,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q3777562-6A57041B-657F-4EE9-B5EC-4929F9E69912,Q3777562,John Deasy,Q2109423,Waterford,Q247135,Fine Gael,2016-03-10,"",32
Q3777562-4C0B8EE3-A2DE-437C-9AF0-E83EE0BCECBC,Q3777562,John Deasy,Q2109423,Waterford,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3777584-CCB3A77E-E545-4206-BCAC-A4E9C3DB0F8A,Q3777584,Tom Hayes,Q2739535,Tipperary South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3777594-5F363824-E971-4BF7-8F1B-A1BC48A66C27,Q3777594,Olivia Mitchell,Q4429557,Dublin South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3777612-3593FE61-5D11-4A0E-BCD7-20945C32050A,Q3777612,David Stanton,Q16951667,Cork East,Q247135,Fine Gael,2016-03-10,"",32
Q3777612-AEC44450-22D7-4581-A325-BB9D09A908D9,Q3777612,David Stanton,Q16951667,Cork East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3777896-BFC3732B-D8F9-4859-BD13-CC4C9FECD66C,Q3777896,Damien English,Q2040462,Meath West,Q247135,Fine Gael,2016-03-10,"",32
Q3777896-9CF43A79-83D8-4D3A-9C79-47B189AD6056,Q3777896,Damien English,Q2040462,Meath West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q3778169-6B1C3204-89C1-4DAB-BEE4-ECBE34CBAE52,Q3778169,Luke 'Ming' Flanagan,Q7367589,Roscommon–South Leitrim,Q327591,independent politician,2011-03-09,2014-05-26,31
Q380299-D5FCD776-E544-4BEE-A42E-BBD21B2EBC34,Q380299,Dan Neville,Q6549238,Limerick,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q380301-92C5F4C2-5E1E-4964-B8F7-97CF217AE105,Q380301,Liam Twomey,Q3458611,Wexford,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q380320-CAC89EB0-7D5D-4CFC-A15F-19B8E270EE7E,Q380320,Bernard Durkan,Q6406731,Kildare North,Q247135,Fine Gael,2016-03-10,"",32
Q380320-04D38ABA-94BB-4980-81C9-B5B060A1BDA4,Q380320,Bernard Durkan,Q6406731,Kildare North,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q381658-6E5DC3F6-D9FC-4AEA-B987-FD2A5C88CC98,Q381658,Denis Naughten,Q7367587,Roscommon–Galway,Q327591,independent politician,2016-03-10,"",32
Q381658-8C92A934-4148-4E4D-9923-674A869EF1A9,Q381658,Denis Naughten,Q7367589,Roscommon–South Leitrim,Q247135,Fine Gael,2011-03-09,2011-07-07,31
Q381658-8e82876f-4d7d-19e9-6784-01e839826b34,Q381658,Denis Naughten,Q7367589,Roscommon–South Leitrim,Q327591,independent politician,2011-07-07,2016-02-03,31
