id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
61dd639b-d5a2-4f1b-a843-8401926b2ccb,Irfan Ali Laghari,Irfan Ali Laghari,,,,PPPP,pppp,NA-234,NA-234 (Dadu-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/234(1).jpg,male,,Q186591,Q13102008
83823417-2356-4abb-b3aa-0b3d766d1b27,Jai Parkash,Jai Parkash,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/Jai%20parkash.jpg-------.jpg,male,,Q284454,
07ce665a-2f37-4cc8-9655-373a14fae7bc,Jam Abdul Karim Bijar,Jam Abdul Karim Bijar,,,,PPPP,pppp,NA-236,NA-236 (Malir-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/236(1).jpg,,,Q186591,Q13102772
3c4e87a9-f49a-476d-b0e3-6280a8e63d36,James Iqbal,James Iqbal,,,,MMAP,mmap,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/James%20Iqbal.jpg,male,,,
9b4d48de-91e3-4b53-8f11-eb61774bec65,Jamil Ahmed Khan,Jamil Ahmed Khan,,,,PTI,pti,NA-237,NA-237 (Malir-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/237.jpg,male,,Q284454,Q13103363
e8c6a65a-ae67-4c6b-8e9b-dd33b38af9e5,Jamshed Thomas,Jamshed Thomas,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/Jamshed%20Thomas.jpg,male,,Q284454,
ddc54f5e-0f91-4eab-a5bd-5ca77241f0ca,Javaria Zafar Aheer,Javaria Zafar Aheer,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/293%20Javairia%20Zafar.jpg,female,,Q284454,
a3de22f2-8021-4d82-ad00-59d1a68196bc,Jawad Hussain,Jawad Hussain,,,,PTI,pti,NA-47,NA-47 (Orakzai Agency Tribal Area-VIII),14,2018-08-13,http://www.na.gov.pk/uploads/images/47(1).jpg,male,,Q284454,Q5164008
57a9cac1-3bb6-4dc0-9f20-c419bb8fb969,Junaid Akbar,Junaid Akbar,,,,PTI,pti,NA-8,NA-8 (Malakand Protected Area),14,2018-08-13,http://www.na.gov.pk/uploads/images/8(1).jpg,male,,Q284454,Q5164045
4a1a119b-c3dc-49d9-b377-2e8087b505e2,Kamal Uddin,Kamal Uddin,,,,MMAP,mmap,NA-262,NA-262 (Pishin),14,2018-08-13,http://www.na.gov.pk/uploads/images/262.jpg,male,,,Q12912963
237554e1-6de6-4004-966b-1cf65fa32cf7,Kanwal Shauzab,Kanwal Shauzab,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/Kanwal%20Shauzab.jpg,female,,Q284454,
9d8c26aa-e432-42e2-9407-2a6c8f46109f,Kesoo Mal Kheeal Das,Kesoo Mal Kheeal Das,,,,PML-N,pmln,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/kesoo%20mal%20khealdas.jpg,male,,Q799577,
ec2a2bf3-7152-44f5-91da-e10f7c005f09,Khalid Ahmed Khan Lund,Khalid Ahmed Khan Lund,,,,PPPP,pppp,NA-204,NA-204 (Ghotki-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/204.jpg,male,,Q186591,Q13100353
50ad1175-0fd7-4d12-9e80-8c86adb988ce,Khalid Hussain Magsi,Khalid Hussain Magsi,,,,BAP,bap,NA-260,NA-260 (Nasirabad-cum-Kachhi-cum-Jhal-Magsi),14,2018-08-13,http://www.na.gov.pk/uploads/images/260(1).jpg,male,,,Q12912865
58c41b4d-1c81-4273-ba73-6c8d57e632b7,Khawaja Muhammad Asif,Khawaja Muhammad Asif,,,,PML-N,pmln,NA-73,NA-73 (Sialkot-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/NA-73%20Khawaja%20Muhammad%20Asif.jpg,,,Q799577,Q5164038
1305b547-05c5-45b3-a723-2ad0bd3a4daf,Khawaja Saad Rafique,Khawaja Saad Rafique,,,,PML-N,pmln,NA-131,NA-131 (Lahore-IX),14,2018-10-29,http://www.na.gov.pk/uploads/images/saad.jpg,,,Q799577,Q12857360
26c29f68-8377-43c4-8baa-dd1bcb11ff89,Khawja Sheraz Mehmood,Khawja Sheraz Mehmood,,,,PTI,pti,NA-189,NA-189 (D.G.Khan-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/189(1).jpg,male,,Q284454,Q12857347
926a6cc1-929e-4ac6-8c02-848e62fdbbdc,Khial Zaman,Khial Zaman,,,,PTI,pti,NA-33,NA-33 (Hangu),14,2018-08-13,http://www.na.gov.pk/uploads/images/33(1).jpg,male,,Q284454,Q13211699
04ee2d46-75a2-4468-a4f5-d92f6be72584,Khurram Dastgir Khan,Khurram Dastgir Khan,,,,PML-N,pmln,NA-81,NA-81 (Gujranwala-III),14,2018-08-13,http://www.na.gov.pk/uploads/images/81(1).jpg,male,,Q799577,Q5164047
55579f75-f797-44e3-ba32-fb3227c717a8,Khurram Shahzad,Khurram Shahzad,,,,PTI,pti,NA-107,NA-107 (Faisalabad-VII),14,2018-08-13,http://www.na.gov.pk/uploads/images/107.jpg,male,,Q284454,Q12809514
4dd36273-c40e-459a-87a1-6b652220d7ca,Khursheed Ahmed Junejo,Khursheed Ahmed Junejo,,,,PPPP,pppp,NA-201,NA-201 (Larkana-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/201.jpg,male,,Q186591,Q13100068
ef5f5a8c-ea50-4e4b-bab4-65c964d0bbeb,Kiran Imran Dar,Kiran Imran Dar,,,,PML-N,pmln,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/280%20Kiran%20Imran%20Dar.jpg,female,,Q799577,
1aaeed87-d4d4-4296-90f1-00ffdfc3295d,Kishwar Zehra,Kishwar Zehra,,,,MQMP,mqmp,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/Kisahwar%20Baji.jpg,female,,,
1dc182cd-760e-4af2-a275-4245b9d994e3,Lal Chand,Lal Chand,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/Lal%20Chand%20Malhi.jpg,male,,Q284454,
d98879a5-d761-4b82-8e1d-2b573b2d678e,Mahar Irshad Ahmad Khan,Mahar Irshad Ahmad Khan,,,,PPPP,pppp,NA-182,NA-182 (Muzaffargarh-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/182(1).jpg,,,Q186591,Q12858066
508e1771-9a12-4c16-958d-47515de86d24,Mahesh Kumar Malani,Mahesh Kumar Malani,,,,PPPP,pppp,NA-222,NA-222 (Tharparkar-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/222(1).jpg,male,,Q186591,Q13034033
8763230c-0654-4080-8cf8-b252a6aaa99c,Maiza Hameed,Maiza Hameed,,,,PML-N,pmln,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/meza%20hamed.jpg,female,,Q799577,
c0699c30-d751-4f33-9ce0-983d7014a53f,Makhdom Zada Sayed Basit Ahmad Sultan,Makhdom Zada Sayed Basit Ahmad Sultan,,,,PTI,pti,NA-185,NA-185 (Muzaffargarh-V),14,2018-08-13,http://www.na.gov.pk/uploads/images/185.jpg,male,,Q284454,Q12857335
c1bef60d-1c6c-4bbe-aad1-0d23e721555a,Makhdoom Jameel Uz Zaman,Makhdoom Jameel Uz Zaman,,,,PPPP,pppp,NA-223,NA-223 (Matiari),14,2018-08-13,http://www.na.gov.pk/uploads/images/223(1).jpg,,,Q186591,Q13034040
25a161a9-d406-4939-a33e-e3be2b343f11,Makhdoom Khusro Bukhtiar,Makhdoom Khusro Bukhtiar,,,,PTI,pti,NA-177,NA-177 (Rahim Yar Khan-III),14,2018-08-13,http://www.na.gov.pk/uploads/images/177.jpg,,,Q284454,Q12857319
5b4dd148-0278-4ae9-a87e-7a5889bf0367,Makhdoom Muhammad Ameen Fahim,Makhdoom Muhammad Ameen Fahim,,,,PPPP,pppp,NA-218,NA-218 (Mirpurkhas-I),14,2013-06-01,http://www.na.gov.pk/uploads/images/218.jpg,male,Q1393209,Q186591,Q13034011
0ef76f40-233b-4a58-bb5a-bc8ffc85ad25,Makhdoom Shah Mahmood Hussain Qureshi,Makhdoom Shah Mahmood Hussain Qureshi,,,,PTI,pti,NA-156,NA-156 (Multan-III),14,2018-08-13,http://www.na.gov.pk/uploads/images/156(1).jpg,,,Q284454,Q12812302
6f00739e-319f-40e1-b499-7709487a8a27,Makhdoom Syed Sami Ul Hassan Gillani,Makhdoom Syed Sami Ul Hassan Gillani,,,,PTI,pti,NA-174,NA-174 (Bahawalpur-V),14,2018-08-13,http://www.na.gov.pk/uploads/images/174(1).jpg,,,Q284454,Q12902844
124d3e6b-2f22-45ab-b1db-00f513175cce,Makhdoom Zain Hussain Qureshi,Makhdoom Zain Hussain Qureshi,,,,PTI,pti,NA-157,NA-157 (Multan-IV),14,2018-08-13,http://www.na.gov.pk/uploads/images/157.jpg,,,Q284454,Q12812171
7ac20093-8549-419e-a32e-8ae2ac8b1027,Maleeka Ali Bokhari,Maleeka Ali Bokhari,,,,PTI,pti,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/maleeka%20bokhari.jpg,female,,Q284454,
00a13b60-a137-435c-8868-87d907c17155,Malik Anwar Taj,Malik Anwar Taj,,,,PTI,pti,NA-23,NA-23 (Charsadda-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/23.jpg,male,,Q284454,Q13211692
4280c21b-478c-4568-9c6e-db32a7e33628,Malik Iqbal Mehdi Khan,Malik Iqbal Mehdi Khan,,,,PML-N,pmln,NA-63,NA-63 (Rawalpindi-VII),14,2013-06-01,http://www.na.gov.pk/uploads/images/63.jpg,male,Q18816136,Q799577,Q5164027
de578d5b-c2c3-44d3-8e9f-d42c53130a9a,Malik Karamat Ali Khokhar,Malik Karamat Ali Khokhar,,,,PTI,pti,NA-135,NA-135 (Lahore-XIII),14,2018-08-13,http://www.na.gov.pk/uploads/images/135(1).jpg,,,Q284454,Q12857380
8365d9fc-e498-48b7-b026-e060697ea261,Malik Muhammad Amir Dogar,Malik Muhammad Amir Dogar,,,,PTI,pti,NA-155,NA-155 (Multan-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/155(1).jpg,,,Q284454,Q12812432
e585ebca-5292-4334-8d43-7bb5e9ad7c94,Malik Muhammad Ehsan Ullah Tiwana,Malik Muhammad Ehsan Ullah Tiwana,,,,PTI,pti,NA-94,NA-94 (Khushab-II),14,2018-08-13,http://www.na.gov.pk/uploads/images/94(1).jpg,,,Q284454,Q13099860
ec9539ae-65d8-4ce5-b85c-5b47bb35f754,Malik Sohail Khan,Malik Sohail Khan,,,,PML-N,pmln,NA-56,NA-56 (Attock-II),14,2018-10-29,http://www.na.gov.pk/uploads/images/NA%20-56.jpg,,,Q799577,Q5164018
426d3868-d6e3-4126-8fa7-173bed83ab36,Mansoor Hayat Khan,Mansoor Hayat Khan,,,,PTI,pti,NA-63,NA-63 (Rawalpindi-VII),14,2018-10-29,http://www.na.gov.pk/uploads/images/63(1).jpg,male,,Q284454,Q5164027
e10a6984-414c-486b-87a7-196e51ee8297,Maryam Aurangzaib,Maryam Aurangzaib,,,,PML-N,pmln,,,14,2018-08-13,http://www.na.gov.pk/uploads/images/maryam%20orangzeb......jpg,female,,Q799577,
34458863-f608-4ce5-bd91-5c7dd34bf769,Mehar Ghulam Muhammad Lali,Mehar Ghulam Muhammad Lali,,,,PTI,pti,NA-99,NA-99 (Chiniot-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/99.jpg,male,,Q284454,Q12810090
c7ce5f46-648c-4029-8050-47f2c6222cc1,Mehboob Shah,Mehboob Shah,,,,PTI,pti,NA-6,NA-6 (Lower Dir-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/6(1).jpg,male,,Q284454,Q5164023
8facb69c-c3c1-4768-988d-f5c461f55402,Mehnaz Akber Aziz,Mehnaz Akber Aziz,,,,PML-N,pmln,NA-77,NA-77 (Narowal-I),14,2018-08-13,http://www.na.gov.pk/uploads/images/77%20final.jpg,female,,Q799577,Q5164042
