id,uuid
dijck-apc-van-pvv,8c5f123f-4cb1-4421-ad15-a33c743acf87
mulder-vvd,8df728a2-c8a8-4a8f-9618-f05a41f6a2fa
thieme-ml-pvdd,8e4aa2d6-9046-4485-942b-5aed026f34d3
bosma-m-pvv,8edc70c4-9b07-4d74-b428-e73e6e2f92a3
gerbrands-k-pvv,8f79668f-af11-4094-b535-bc6a45bc3c94
bisschop-r-sgp,9158137c-f034-4e5b-81c8-6f30c1e638c8
ronnes-hag-cda,93b83d99-0389-440d-ae99-99f256209604
dijkstra-pa-d66,9726cac1-f40a-4f18-a98c-d806a4ded068
boer-mgw-den-d66,97d5407a-36bd-4878-99fb-7be606a6b1f8
weyenberg-spra-van-d66,9904d8d1-1c2e-4d3a-bcb6-7e184380e441
linde-re-van-der-vvd,9987a5e7-e313-480d-ad7e-b5927a070df9
bergkamp-va-d66,9b1e699f-800e-4c27-a6e4-52724e8710e4
voordewind-js-cu,9bf809a7-d2d9-4dd9-9047-25916dc543d5
laan-geselschap-ajm-vvd,9d95647a-71f9-445c-871d-6a8366be45d8
graaf-sjf-van-der-cu,9ff317ca-383b-4632-a1fb-a7b35cc65e77
azmani-m-vvd,a04b7668-1d70-4648-8e26-53c087522f98
diertens-ae-d66,a462e8cd-ed9f-4af7-a962-9b3665748218
marijnissen-lmc-sp,a54343a3-dda7-4c76-9921-9b253ace168d
stoffer-c-sgp,a601afb8-a225-48f5-acc3-2c9d7f8a8a42
arib-k-pvda,a616b100-4973-49ef-8e3e-9e0f71daf936
moorlag-wj-pvda,a648b670-e166-432c-bd5f-60cf78805111
staaij-cg-van-der-sgp,ab598845-9b5c-479a-8d9a-27b3e88b4d4b
popken-gjf-pvv,abb9b362-7edd-45bd-b969-72760ca69afa
dijkhoff-khdm-vvd,ad3b4757-3b97-4745-a868-d31743bd1c9b
peters-wphj-cda,aef5e205-cb30-4e0a-8984-926811b220e2
nijkerken-de-haan-cna-vvd,b35a2f8f-1d7b-4e87-bf9a-6e7f8d14ac89
dik-faber-rk-cu,b6fbf8ea-384c-458c-8c5b-d860b77db4cf
beckerman-sm-sp,b86f9f3b-283c-45ab-b658-18bab6a5b85d
wiersma-ad-vvd,b93e36bc-8b21-4f67-8c0e-e5f9dbb40b11
madlener-b-pvv,beba2ad6-6ab7-464a-ba31-167944be3452
bouali-d66,c0aa92dd-8bbb-453a-93ed-1a5d789916f7
oosten-f-van-vvd,c131ea40-908d-4b01-8fcc-5add567d45be
ploumen-emj-pvda,c2fa404f-e315-42d3-b69d-84a432cc03c9
%C3%B6zdil-z-gl,c4f8dd68-e49a-471f-aa75-620c8d54bdb4
rog-mrj-cda,cddb22ba-e488-434f-ae54-58ea8a15fd1c
lange-la-de-vvd,cf352846-444c-4951-b9a2-dff0156ab1a5
meenen-ph-van-d66,d3b82d3a-42e8-4164-a028-db6c7c0dcebe
lodders-wjh-vvd,d44058af-96a0-47b9-b882-1923aaf36708
graus-djg-pvv,d455e619-4f8b-45e7-82fe-59a7aea990de
verhoeven-k-d66,d51e9268-39cb-4359-b6b3-217fd2f8cb06
%C3%B6zt%C3%BCrk-s-denk,d74616c2-9bec-4b4f-9bd5-6794a9ce7cc1
omtzigt-ph-cda,d7ea429d-3ee5-483f-a267-d51a8ba4e06a
%C3%B6z%C3%BCtok-n-gl,d8b305f5-fec6-4190-bc1f-47f428c40261
heerema-rj-vvd,d9a856db-4467-48a2-ba7a-eaa8a0362091
jetten-raa-d66,d9c00d9d-dd0b-49b1-b47f-db6868ceba47
kuiken-ah-pvda,dbbad797-9cd4-4508-b40e-b2dc2dd6f512
asscher-lf-pvda,dbd7ef1e-0f16-4769-b5bd-3328e422beb0
helder-lmjs-pvv,dc838a59-fd35-4404-af72-87f032a615a5
dijkstra-rj-vvd,dd1a128e-24fd-42f8-88be-7ad4fed5a4f1
paternotte-jm-d66,def983af-7c17-49c3-a787-ca12042a1676
wilders-g-pvv,df3fc851-a83d-4984-86af-3ee711d2140a
koerhuis-dan-vvd,dfe3292c-ffa6-4b30-8d85-e1c769dfe273
