id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q6112174,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6117807,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6118208,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6125356,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6125395,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6125422,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6125442,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6125560,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6148524,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6153670,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6165391,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6165635,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6165635,Q55718069,,"",1994-03-11,,1994-09-20,Enrique Correa Ríos,José Joaquín Brunner,,
Q6165698,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6165698,Q18882653,member of the Senate of Chile,"","",,,,,,
Q6169264,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6170994,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6173143,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6278486,Q18067639,member of the Chamber of Deputies of Chile,"",1990-03-11,48th legislature of the National Congress of Chile,1998-03-11,,,,
Q6278486,Q18882653,member of the Senate of Chile,"",1998-03-11,50th legislature of the National Congress of Chile,,,,District 5,
Q6426685,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6454275,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6499373,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
