id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q3081862,Q18882653,member of the Senate of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 11,
Q3081862,Q55718071,,"",2003-03-03,,2004-06-03,Mario Fernández Baeza,Eduardo Dockendorff,,
Q3120563,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q3160564,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3186176,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3186176,Q55718071,,"",2007-03-26,,2010-03-11,Paulina Veloso,Cristián Larroulet,,
Q3357485,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3375011,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q3460282,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3460282,Q18882653,member of the Senate of Chile,"","",,,,,,
Q3571936,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3576977,Q18067639,member of the Chamber of Deputies of Chile,"",2006-03-11,,2010-03-11,,,,
Q3660574,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q3660574,Q55718069,,"",2009-03-12,,2009-12-14,Francisco Vidal,Pilar Armanet,,
Q4215484,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q42361184,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q42391140,Q18067639,member of the Chamber of Deputies of Chile,"",1990-03-11,,1994-03-11,,,,
Q43058846,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q451359,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q451359,Q18882653,member of the Senate of Chile,"","",,,,,,
Q4714618,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q4714618,Q18882653,member of the Senate of Chile,"","",,,,,,
Q4760139,Q18067639,member of the Chamber of Deputies of Chile,"",1994-03-11,,1998-03-11,,,,
Q4760139,Q55717944,Minister of National Defence,Chilean minister,2011-01-16,,2012-11-05,Jaime Ravinet,Rodrigo Hinzpeter,,
Q4760169,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q4760169,Q18882653,member of the Senate of Chile,"","",,,,,,
Q4760169,Q55718065,,"",2012-11-05,,2014-03-11,Rodrigo Hinzpeter,Rodrigo Peñailillo,,
Q4760169,Q55718065,,"",2018-03-11,,,Mario Fernández Baeza,,,
Q4760169,Q55718069,,"",2011-07-18,,2012-11-05,Ena von Baer,Cecilia Pérez Jara,,
Q4778513,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q48276611,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q4850447,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q4850447,Q18882653,member of the Senate of Chile,"","",,,,,,
Q48680456,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q501752,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5044837,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5044837,Q18882653,member of the Senate of Chile,"",2014-03-11,54th legislature of the National Congress of Chile,,,,District 15,
Q510917,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q51182535,Q18067639,member of the Chamber of Deputies of Chile,"",1998-03-11,,2010-03-11,,,,
Q5399541,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5400841,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5406435,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5406435,Q55717944,Minister of National Defence,Chilean minister,"",,,,,,
Q5411507,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5478697,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5492224,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5556358,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5573249,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5576411,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5576411,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5578064,Q121998,ambassador,diplomatic envoy,"",,,,,,
Q5578064,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5648704,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5656415,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5656484,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5658359,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5658359,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5662871,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5663007,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5663007,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5663007,Q55717944,Minister of National Defence,Chilean minister,2018-03-11,,,José Antonio Gómez Urrutia,,,
